MANCODIGO,SITP_Count
008220002,45
008220029,37
008220032,52
008220033,49
008220035,49
008309005,44
008309007,57
008309008,48
008309009,61
008309010,56
008309011,54
008309012,55
008309013,54
008309014,55
008309015,53
008309016,51
008309017,51
008309018,45
002547093,55
208125014,28
208125016,29
208125017,30
208125018,30
208125019,29
208125020,28
208125021,28
208125023,27
208125024,28
208125025,25
003205014,65
003205016,61
003205017,60
003205019,66
003205020,66
008212020,79
008212021,83
008220080,29
009133047,2
003205006,59
008220083,33
008220085,20
008221002,26
008221003,26
008221004,26
008221005,27
002604016,56
006528015,33
008311010,46
008311011,45
008307022,59
008307024,44
008307025,66
008307026,64
008307027,56
008307028,55
008214003,83
008214004,84
008214007,92
008214008,88
008214009,83
